code,symbol,name,industry
502157,MANGLMCEM,Mangalam Cement Ltd,
502168,NCLIND,NCL Industries Ltd-$,
502175,SAURASHCEM,Saurashtra Cement Ltd,
502180,SHREDIGCEM,Shree Digvijay Cement Company Ltd-$,
502219,BORORENEW,Borosil Renewables Ltd,
502250,LERTHAI,Lerthai Finance Ltd,
502281,TRIVENIGQ,Triveni Glass Ltd-$,
502294,NILACHAL,Nilachal Refractories Ltd,
502330,ANDHRAPAP,Andhra Paper Ltd,
502355,BALKRISIND,Balkrishna Industries Ltd-$,
502420,ORIENTPPR,Orient Paper & Industries Ltd,
502445,CITADEL,Citadel Realty and Developers Ltd,
502448,ROLLT,Rollatainers Ltd,
502450,SESHAPAPER,Seshasayee Paper and Boards Ltd,
502587,NATHIND,Nath Industries Ltd,
502589,VAPIENTER,Vapi Enterprise Ltd,
502820,DCM,DCM Ltd,
502850,ZGAEKWAR,Gaekwar Mills Ltd,
502865,FORBESCO,Forbes & Company Ltd-$,
502873,HPCOTTON,HP Cotton Textile Mills Ltd,
502893,UNITEDINT,United Interactive Ltd,
502901,JAMSHRI,Jamshri Realty Ltd-$,
502933,KATRSPG,Katare Spinning Mills Ltd,
502937,KESORAMIND,Kesoram Industries Ltd,
502958,LAKSHMIMIL,Lakshmi Mills Company Ltd-$,
502986,VTL,Vardhman Textiles Ltd,
503031,PENINLAND,Peninsula Land Ltd,
503092,PASUSPG,Pasupati Spinning & Weaving Mills Ltd,
503100,PHOENIXLTD,The Phoenix Mills Ltd,
503101,MARATHON,Marathon Nextgen Realty Ltd,
503127,RAJABAH,Raja Bahadur International Ltd,
503162,RELCHEMQ,Reliance Chemotex Industries Ltd-$,
503169,RUBYMILLS,Ruby Mills Ltd,
503229,SIMPLXREA,Simplex Realty Ltd,
503310,SWANCORP,Swan Corp Ltd,
503349,VICTMILL,Victoria Mills Ltd,
503622,ZSVTRADI,SV Trading & Agencies Ltd,
503624,ZSVARAJT,Svaraj Trading & Agencies Ltd,
503626,MANGLAM,Manglam Global Corporations Ltd,
503635,SALSAIN,Shree Salasar Investments Ltd,
503639,APOLLOIN,Apollo Ingredients Ltd,
503641,ZODIACVEN,Zodiac Ventures Ltd,
503657,VEERENRGY,Veer Energy & Infrastructure Ltd,
503659,SW1,SW Investments Ltd,
503663,TILAK,Tilak Ventures Ltd,
503671,UNIJOLL,Unijolly Investments Company Ltd,
503675,WAGEND,Wagend Infra Venture Ltd,
503681,ELCIDIN,EL CID Investments Ltd,
503685,MEDIAONE,Mediaone Global Entertainment Ltd,
503689,HEALINV,Healthy Investments Ltd,
503696,SHRENTI,Shreenath Investment Company Ltd,
503722,BANSWRAS,Banswara Syntex Ltd-$,
503772,MODWOOL,Modella Woollens Ltd,
503776,MODIPON,Modipon Ltd,
503804,SHRIDINE,Shri Dinesh Mills Ltd-$,
503806,SRF,SRF Ltd,
503811,SIYSIL,Siyaram Silk Mills Ltd-$,
503816,SWADPOL,Swadeshi Polytex Ltd,
503837,SHRAJSYNQ,Shree Rajasthan Syntex Ltd-$,
503863,SHRMFGC,Shree Manufacturing Company Ltd,
503893,ZSATYASL,Satyam Silk Mills Ltd,
503960,BBL,Bharat Bijlee Ltd-$,
504000,ELPROINTL,Elpro International Ltd,
504028,GEE,GEE Ltd,
504036,HIRECT,Hind Rectifiers Ltd,
504058,NIPPOBATRY,Indo National Ltd,
504067,ZENSARTECH,Zensar Technologies Ltd,
504076,JYOTI,Jyoti Ltd-$,
